"","user","user_url","rating_num","review_num","pos_dist","mixed_dist","neg_dist","avg_score"
"33","Gohax","https://www.metacritic.com/user/Gohax",42,42,21,20,1,"7.3"
"34","sawesome","https://www.metacritic.com/user/sawesome",3,3,2,0,1,"0.0"
"35","Diddy87","https://www.metacritic.com/user/Diddy87",1,1,0,0,1,"0.0"
"36","999sowhat","https://www.metacritic.com/user/999sowhat",1,1,0,0,1,"0.0"
"37","PedroLemos123","https://www.metacritic.com/user/PedroLemos123",1,1,0,0,1,"0.0"
"38","gjahtp584","https://www.metacritic.com/user/gjahtp584",1,1,0,0,1,"0.0"
"39","Ovajjjj","https://www.metacritic.com/user/Ovajjjj",1,1,0,0,1,"0.0"
"40","obzhora69","https://www.metacritic.com/user/obzhora69",5,4,2,0,2,"4.6"
"41","Contumqcious","https://www.metacritic.com/user/Contumqcious",1,1,0,0,1,"0.0"
"42","graczBR","https://www.metacritic.com/user/graczBR",2,2,1,0,1,"0.0"
"43","macgyver2000","https://www.metacritic.com/user/macgyver2000",1,1,0,0,1,"0.0"
"44","H_E","https://www.metacritic.com/user/H_E",14,2,0,0,2,"4.4"
"45","zavier1","https://www.metacritic.com/user/zavier1",1,1,0,0,1,"0.0"
"46","Byahbyah","https://www.metacritic.com/user/Byahbyah",1,1,0,0,1,"0.0"
"47","HVAR","https://www.metacritic.com/user/HVAR",2,2,1,0,1,"0.0"
"48","MalikBane","https://www.metacritic.com/user/MalikBane",11,4,2,0,1,"7.5"
"49","KoRSAPTEM","https://www.metacritic.com/user/KoRSAPTEM",3,2,0,0,2,"0.0"
"50","YoungSatch3","https://www.metacritic.com/user/YoungSatch3",3,2,0,0,2,"0.0"
"51","LaymenGaming","https://www.metacritic.com/user/LaymenGaming",1,1,0,0,1,"0.0"
"52","Osmium_77","https://www.metacritic.com/user/Osmium_77",1,1,0,0,1,"0.0"
"53","SeZZy","https://www.metacritic.com/user/SeZZy",8,2,1,0,1,"6.3"
"54","gamitech","https://www.metacritic.com/user/gamitech",28,3,2,0,1,"8.2"
"55","SC4RECR00W","https://www.metacritic.com/user/SC4RECR00W",1,1,0,0,1,"0.0"
"56","Octavio89","https://www.metacritic.com/user/Octavio89",96,3,0,0,3,"7.5"
"57","LongHappyFrog","https://www.metacritic.com/user/LongHappyFrog",5,5,1,0,4,"2.0"
"58","jzyk93","https://www.metacritic.com/user/jzyk93",4,4,0,1,2,"0.0"
"59","patuj","https://www.metacritic.com/user/patuj",1,1,0,0,1,"0.0"
"60","ZeBraV5V5","https://www.metacritic.com/user/ZeBraV5V5",1,1,0,0,1,"0.0"
"61","CivilEngineer","https://www.metacritic.com/user/CivilEngineer",1,1,0,0,1,"0.0"
"62","AllexUs4","https://www.metacritic.com/user/AllexUs4",3,3,1,0,2,"0.0"
"63","Packer5do","https://www.metacritic.com/user/Packer5do",1,1,0,0,1,"0.0"
"64","Avid99","https://www.metacritic.com/user/Avid99",1,1,0,0,1,"0.0"
"65","Justicier","https://www.metacritic.com/user/Justicier",2,2,0,0,2,"0.0"
"66","Samorse","https://www.metacritic.com/user/Samorse",4,3,2,0,1,"7.0"
"67","TheNiel","https://www.metacritic.com/user/TheNiel",1,1,0,0,1,"0.0"
"68","apr292000","https://www.metacritic.com/user/apr292000",1,1,0,0,1,"0.0"
"69","q-gin","https://www.metacritic.com/user/q-gin",1,1,0,0,1,"0.0"
"70","LitG","https://www.metacritic.com/user/LitG",1,1,0,0,1,"0.0"
"71","klokwok","https://www.metacritic.com/user/klokwok",1,1,0,0,1,"0.0"
"72","Urizen212","https://www.metacritic.com/user/Urizen212",1,1,0,0,1,"0.0"
"73","Daveorino","https://www.metacritic.com/user/Daveorino",1,1,0,0,1,"0.0"
"74","babue","https://www.metacritic.com/user/babue",2,2,1,0,1,"0.0"
"75","autonote","https://www.metacritic.com/user/autonote",1,1,0,0,1,"0.0"
"76","EnigmaticZee","https://www.metacritic.com/user/EnigmaticZee",1,1,0,0,1,"0.0"
"77","SleepOnTheFloor","https://www.metacritic.com/user/SleepOnTheFloor",3,2,1,0,1,"0.0"
"78","Lushual","https://www.metacritic.com/user/Lushual",1,1,0,0,1,"0.0"
"79","Skyarch","https://www.metacritic.com/user/Skyarch",1,1,0,0,1,"0.0"
"80","LordOfTruth","https://www.metacritic.com/user/LordOfTruth",1,1,0,0,1,"0.0"
"81","erimsunlu","https://www.metacritic.com/user/erimsunlu",2,1,0,0,1,"0.0"
"82","Sthaman","https://www.metacritic.com/user/Sthaman",1,1,0,0,1,"0.0"
"83","Gentlegentle","https://www.metacritic.com/user/Gentlegentle",1,1,0,0,1,"0.0"
"84","Dantemax29","https://www.metacritic.com/user/Dantemax29",28,2,1,0,1,"8.1"
"85","TLOU2CANCEL","https://www.metacritic.com/user/TLOU2CANCEL",1,1,0,0,1,"0.0"
"86","JoelMiller","https://www.metacritic.com/user/JoelMiller",1,1,0,0,1,"0.0"
"87","v0lcer","https://www.metacritic.com/user/v0lcer",1,1,0,0,1,"0.0"
"88","QuisSeparabit","https://www.metacritic.com/user/QuisSeparabit",1,1,0,0,1,"0.0"
"89","hoop07240724","https://www.metacritic.com/user/hoop07240724",3,3,1,0,2,"0.0"
"90","Anbyup123","https://www.metacritic.com/user/Anbyup123",1,1,0,0,1,"0.0"
"91","Reizig","https://www.metacritic.com/user/Reizig",2,2,0,1,1,"0.0"
"92","whwfldnpqTlqkf","https://www.metacritic.com/user/whwfldnpqTlqkf",2,1,0,0,1,"0.0"
"93","Voltaire1776","https://www.metacritic.com/user/Voltaire1776",2,2,0,0,1,"0.0"
"94","DaveAus","https://www.metacritic.com/user/DaveAus",459,17,3,1,8,"3.5"
"95","Gamster77","https://www.metacritic.com/user/Gamster77",1,1,0,0,1,"0.0"
"96","Afkmike","https://www.metacritic.com/user/Afkmike",1,1,0,0,1,"0.0"
"97","Xiolon","https://www.metacritic.com/user/Xiolon",16,3,2,0,1,"7.6"
"98","Side-Arms","https://www.metacritic.com/user/Side-Arms",2,2,0,0,2,"0.0"
"99","Rustyknife99","https://www.metacritic.com/user/Rustyknife99",1,1,0,0,1,"0.0"
"100","AceAscendus","https://www.metacritic.com/user/AceAscendus",75,75,26,0,48,"3.6"
"101","Lester13","https://www.metacritic.com/user/Lester13",1,1,0,0,1,"0.0"
"102","VictorBoomtown","https://www.metacritic.com/user/VictorBoomtown",3,3,0,0,2,"0.0"
"103","HarryFernandes","https://www.metacritic.com/user/HarryFernandes",1,1,0,1,0,"0.0"
"104","Hgggu","https://www.metacritic.com/user/Hgggu",1,1,0,0,1,"0.0"
"105","Gramatick","https://www.metacritic.com/user/Gramatick",1,1,0,0,1,"0.0"
"106","Steag","https://www.metacritic.com/user/Steag",3,2,1,0,1,"0.0"
"107","rakunthz","https://www.metacritic.com/user/rakunthz",1,1,0,0,1,"0.0"
"108","Barsom","https://www.metacritic.com/user/Barsom",2,1,0,0,1,"0.0"
"109","cyaneum","https://www.metacritic.com/user/cyaneum",1,1,0,0,1,"0.0"
"110","Isael_Araujo10","https://www.metacritic.com/user/Isael_Araujo10",3,3,2,0,1,"0.0"
"111","dav5811","https://www.metacritic.com/user/dav5811",4,4,2,0,0,"0.0"
"112","Suchaporkhunt","https://www.metacritic.com/user/Suchaporkhunt",2,2,0,0,1,"0.0"
"113","FinnGalaxy","https://www.metacritic.com/user/FinnGalaxy",1,1,0,0,1,"0.0"
"114","FacelessMan93","https://www.metacritic.com/user/FacelessMan93",1,1,0,0,1,"0.0"
"115","Dannysexbang","https://www.metacritic.com/user/Dannysexbang",1,1,0,0,1,"0.0"
"116","TiagoGNR","https://www.metacritic.com/user/TiagoGNR",1,1,0,0,1,"0.0"
"117","NoodlePsychosis","https://www.metacritic.com/user/NoodlePsychosis",1,1,0,0,1,"0.0"
"118","LuckyAmbassador","https://www.metacritic.com/user/LuckyAmbassador",6,1,0,0,1,"7.0"
"119","kobie2397","https://www.metacritic.com/user/kobie2397",1,1,0,0,1,"0.0"
"120","estr0","https://www.metacritic.com/user/estr0",1,1,0,0,1,"0.0"
"121","Ivanium1488","https://www.metacritic.com/user/Ivanium1488",1,1,0,0,1,"0.0"
"122","scrlklk","https://www.metacritic.com/user/scrlklk",1,1,0,0,1,"0.0"
"123","cmpank88","https://www.metacritic.com/user/cmpank88",2,2,1,0,1,"0.0"
"124","munza2","https://www.metacritic.com/user/munza2",1,1,0,0,1,"0.0"
"125","cactuar","https://www.metacritic.com/user/cactuar",2,2,0,0,2,"0.0"
"126","onoffon2001","https://www.metacritic.com/user/onoffon2001",4,3,2,0,1,"0.0"
"127","rorek131","https://www.metacritic.com/user/rorek131",78,6,1,0,1,"7.5"
"128","abyrvagl","https://www.metacritic.com/user/abyrvagl",5,1,0,0,1,"4.8"
"129","Abimaru","https://www.metacritic.com/user/Abimaru",1,1,0,0,1,"0.0"
"130","MilsdarGats","https://www.metacritic.com/user/MilsdarGats",1,1,0,0,1,"0.0"
"131","AnitaSarkisan","https://www.metacritic.com/user/AnitaSarkisan",1,1,0,0,1,"0.0"
"132","yorkshiresteve","https://www.metacritic.com/user/yorkshiresteve",1,1,0,0,1,"0.0"
"133","phardin","https://www.metacritic.com/user/phardin",1,1,0,0,1,"0.0"
"134","Delkan","https://www.metacritic.com/user/Delkan",1,1,0,0,1,"0.0"
"135","Citch6","https://www.metacritic.com/user/Citch6",1,1,0,0,1,"0.0"
"136","moondog255","https://www.metacritic.com/user/moondog255",7,7,1,0,6,"1.4"
"137","Ben_elRey","https://www.metacritic.com/user/Ben_elRey",1,1,0,0,1,"0.0"
"138","HomSatoshi","https://www.metacritic.com/user/HomSatoshi",4,1,0,0,1,"0.0"
"139","Varille","https://www.metacritic.com/user/Varille",1,1,0,0,1,"0.0"
"140","Vodka_boi","https://www.metacritic.com/user/Vodka_boi",31,5,4,0,1,"8.5"
"141","sonia_strumm","https://www.metacritic.com/user/sonia_strumm",7,5,1,0,4,"4.0"
"142","LoganBlade","https://www.metacritic.com/user/LoganBlade",1,1,0,0,1,"0.0"
"143","Joel_and_Ellie","https://www.metacritic.com/user/Joel_and_Ellie",2,1,0,0,1,"0.0"
"144","Johnnyboiii","https://www.metacritic.com/user/Johnnyboiii",3,1,0,0,1,"0.0"
"145","Gaming_Jacker","https://www.metacritic.com/user/Gaming_Jacker",1,1,0,0,1,"0.0"
"146","Marketa","https://www.metacritic.com/user/Marketa",1,1,0,0,1,"0.0"
"147","Ukuhama","https://www.metacritic.com/user/Ukuhama",1,1,0,0,1,"0.0"
"148","cliffordunger","https://www.metacritic.com/user/cliffordunger",2,2,1,0,1,"0.0"
"149","Northway123","https://www.metacritic.com/user/Northway123",1,1,0,0,1,"0.0"
"150","Burlyhayd","https://www.metacritic.com/user/Burlyhayd",2,2,1,0,1,"0.0"
"151","Baluz0r","https://www.metacritic.com/user/Baluz0r",8,4,1,0,2,"6.8"
"152","Sly77","https://www.metacritic.com/user/Sly77",1,1,0,0,1,"0.0"
"153","P9327","https://www.metacritic.com/user/P9327",1,1,0,0,1,"0.0"
"154","AceRoccola","https://www.metacritic.com/user/AceRoccola",5,1,0,0,1,"0.0"
"155","AidanSnelling","https://www.metacritic.com/user/AidanSnelling",2,2,1,0,1,"0.0"
"156","shahabdd94","https://www.metacritic.com/user/shahabdd94",1,1,0,0,1,"0.0"
"157","Abdullah9001","https://www.metacritic.com/user/Abdullah9001",3,3,2,0,1,"0.0"
"158","Mortanius","https://www.metacritic.com/user/Mortanius",2,2,0,0,2,"0.0"
"159","mystery556","https://www.metacritic.com/user/mystery556",1,1,0,0,1,"0.0"
"160","jorden0804","https://www.metacritic.com/user/jorden0804",2,1,0,0,1,"0.0"
"161","Abrankar_Fenix","https://www.metacritic.com/user/Abrankar_Fenix",20,1,0,0,1,"7.4"
"162","Demonidze","https://www.metacritic.com/user/Demonidze",17,5,2,0,3,"6.8"
"163","Rasiel8","https://www.metacritic.com/user/Rasiel8",1,1,0,0,1,"0.0"
"164","Webico","https://www.metacritic.com/user/Webico",4,4,2,0,2,"6.0"
"165","Nite-Mare","https://www.metacritic.com/user/Nite-Mare",1,1,0,0,1,"0.0"
"166","death12123","https://www.metacritic.com/user/death12123",110,86,32,17,5,"7.4"
"167","blind13","https://www.metacritic.com/user/blind13",1,1,0,0,1,"0.0"
"168","zdljxy","https://www.metacritic.com/user/zdljxy",1,1,0,0,1,"0.0"
"169","Abehat","https://www.metacritic.com/user/Abehat",1,1,0,0,1,"0.0"
"170","Takecare","https://www.metacritic.com/user/Takecare",4,2,0,0,2,"5.3"
"171","chinaalfie","https://www.metacritic.com/user/chinaalfie",4,2,1,0,1,"7.5"
"172","Gombe","https://www.metacritic.com/user/Gombe",1,1,0,0,1,"0.0"
"173","AkumaJack","https://www.metacritic.com/user/AkumaJack",94,90,25,12,5,"6.7"
"174","lemmebefamous","https://www.metacritic.com/user/lemmebefamous",1,1,0,0,1,"0.0"
"175","Bucketanarchy","https://www.metacritic.com/user/Bucketanarchy",1,1,0,0,1,"0.0"
"176","usbfuse","https://www.metacritic.com/user/usbfuse",1,1,0,0,1,"0.0"
"177","Allawe27","https://www.metacritic.com/user/Allawe27",3,2,1,0,1,"0.0"
"178","Steroidnajababa","https://www.metacritic.com/user/Steroidnajababa",2,1,0,0,1,"0.0"
"179","bONTi","https://www.metacritic.com/user/bONTi",1,1,0,0,1,"0.0"
"180","moodna","https://www.metacritic.com/user/moodna",4,3,1,0,2,"5.0"
"181","Casualgamer24","https://www.metacritic.com/user/Casualgamer24",1,1,0,0,1,"0.0"
"182","Pr0j3ct97","https://www.metacritic.com/user/Pr0j3ct97",2,1,0,0,1,"0.0"
"183","GrannyWeed","https://www.metacritic.com/user/GrannyWeed",1,1,0,0,1,"0.0"
"184","Elliot_clayy","https://www.metacritic.com/user/Elliot_clayy",17,5,1,0,4,"1.2"
"185","jpg7077","https://www.metacritic.com/user/jpg7077",21,2,0,0,2,"6.6"
"186","LeandroLucky","https://www.metacritic.com/user/LeandroLucky",2,1,0,0,1,"0.0"
"187","ImShakal","https://www.metacritic.com/user/ImShakal",3,3,2,0,1,"0.0"
"188","LeoLeoBro","https://www.metacritic.com/user/LeoLeoBro",1,1,0,0,1,"0.0"
"189","Alex12322","https://www.metacritic.com/user/Alex12322",3,3,0,0,3,"0.0"
"190","GEFFUNDEI","https://www.metacritic.com/user/GEFFUNDEI",10,3,0,0,2,"5.8"
"191","Nighthawk49","https://www.metacritic.com/user/Nighthawk49",1,1,0,0,1,"0.0"
"192","aleqhz","https://www.metacritic.com/user/aleqhz",33,10,4,1,5,"6.1"
"193","Sajji","https://www.metacritic.com/user/Sajji",1,1,0,0,1,"0.0"
"194","StanisRU","https://www.metacritic.com/user/StanisRU",1,1,0,0,1,"0.0"
"195","AngryStarling","https://www.metacritic.com/user/AngryStarling",2,3,0,0,2,"0.0"
"196","Alexandr6665","https://www.metacritic.com/user/Alexandr6665",2,1,0,0,1,"0.0"
"197","JackiS","https://www.metacritic.com/user/JackiS",1,1,0,0,1,"0.0"
"198","FG_one1","https://www.metacritic.com/user/FG_one1",1,1,0,0,1,"0.0"
"199","ricotero","https://www.metacritic.com/user/ricotero",1,1,0,0,1,"0.0"
"200","zzz123533","https://www.metacritic.com/user/zzz123533",1,1,0,0,1,"0.0"
"201","OnlyDISATSTER","https://www.metacritic.com/user/OnlyDISATSTER",1,1,0,0,1,"0.0"
"202","sieg_lu","https://www.metacritic.com/user/sieg_lu",1,1,0,0,1,"0.0"
"203","SirOSG","https://www.metacritic.com/user/SirOSG",1,1,0,0,1,"0.0"
"204","DayRider","https://www.metacritic.com/user/DayRider",15,2,1,1,0,"5.5"
"205","dannydans","https://www.metacritic.com/user/dannydans",24,5,3,0,2,"8.2"
"206","YourMumWashes","https://www.metacritic.com/user/YourMumWashes",138,87,30,25,30,"4.8"
"207","Unholyray","https://www.metacritic.com/user/Unholyray",1,1,0,0,1,"0.0"
"208","ChrisG96","https://www.metacritic.com/user/ChrisG96",1,1,0,0,1,"0.0"
"209","Mohashow","https://www.metacritic.com/user/Mohashow",1,1,0,0,1,"0.0"
"210","lELR","https://www.metacritic.com/user/lELR",1,1,0,0,1,"0.0"
"211","mamamija","https://www.metacritic.com/user/mamamija",1,1,0,0,1,"0.0"
"212","AbhisekUnited","https://www.metacritic.com/user/AbhisekUnited",1,1,0,0,1,"0.0"
"213","AZRogue","https://www.metacritic.com/user/AZRogue",12,1,0,0,1,"3.4"
"214","Vectom1000","https://www.metacritic.com/user/Vectom1000",18,1,0,0,1,"8.5"
"215","Damigamermxus","https://www.metacritic.com/user/Damigamermxus",1,1,0,0,1,"0.0"
"216","qsxd0711","https://www.metacritic.com/user/qsxd0711",2,2,0,0,2,"0.0"
"217","Guedesmate","https://www.metacritic.com/user/Guedesmate",1,1,0,1,0,"0.0"
"218","esverisson","https://www.metacritic.com/user/esverisson",2,1,0,0,1,"0.0"
"219","Drmaxff","https://www.metacritic.com/user/Drmaxff",1,1,0,0,1,"0.0"
"220","maximoelcrack","https://www.metacritic.com/user/maximoelcrack",2,2,0,0,2,"0.0"
"221","Hammill","https://www.metacritic.com/user/Hammill",23,4,1,0,2,"2.5"
"222","flibikazoah","https://www.metacritic.com/user/flibikazoah",7,2,0,1,1,"6.9"
"223","Qkrauts","https://www.metacritic.com/user/Qkrauts",1,1,0,0,1,"0.0"
"224","HonestMako","https://www.metacritic.com/user/HonestMako",1,1,0,0,1,"0.0"
"225","alexreck12","https://www.metacritic.com/user/alexreck12",2,2,1,0,1,"0.0"
"226","SSZ","https://www.metacritic.com/user/SSZ",3,3,1,0,2,"0.0"
"227","woola168","https://www.metacritic.com/user/woola168",2,1,0,0,1,"0.0"
"228","disya","https://www.metacritic.com/user/disya",1,1,0,0,1,"0.0"
"229","JohnL6","https://www.metacritic.com/user/JohnL6",1,1,0,0,1,"0.0"
"230","Asmarath","https://www.metacritic.com/user/Asmarath",2,1,0,0,1,"0.0"
"231","Harpocratess","https://www.metacritic.com/user/Harpocratess",1,1,0,0,1,"0.0"
"232","Peqtaryu","https://www.metacritic.com/user/Peqtaryu",1,1,0,0,1,"0.0"
"233","Paneristi","https://www.metacritic.com/user/Paneristi",1,1,0,0,1,"0.0"
"234","manulbrona","https://www.metacritic.com/user/manulbrona",1,1,0,0,1,"0.0"
"235","Brutalisk","https://www.metacritic.com/user/Brutalisk",1,1,0,0,1,"0.0"
"236","Daldalushel","https://www.metacritic.com/user/Daldalushel",1,1,0,0,1,"0.0"
"237","Wbwjkbw","https://www.metacritic.com/user/Wbwjkbw",2,2,1,1,0,"0.0"
"238","Kostas101","https://www.metacritic.com/user/Kostas101",51,49,31,8,4,"8.0"
"239","Cjrs27","https://www.metacritic.com/user/Cjrs27",3,1,0,0,1,"0.0"
"240","MarkGeralt","https://www.metacritic.com/user/MarkGeralt",2,1,0,1,0,"0.0"
"241","Richardfonseca","https://www.metacritic.com/user/Richardfonseca",3,3,2,0,0,"0.0"
"242","Cloganart","https://www.metacritic.com/user/Cloganart",1,1,1,0,0,"0.0"
"243","Braveen","https://www.metacritic.com/user/Braveen",1,1,1,0,0,"0.0"
"244","Jofisto","https://www.metacritic.com/user/Jofisto",1,1,1,0,0,"0.0"
"245","KavboiMalboro","https://www.metacritic.com/user/KavboiMalboro",5,1,1,0,0,"10"
"246","NorbiZ","https://www.metacritic.com/user/NorbiZ",1,1,1,0,0,"0.0"
"247","Jownatan","https://www.metacritic.com/user/Jownatan",3,3,2,0,0,"0.0"
"248","Monkeyboyyy666","https://www.metacritic.com/user/Monkeyboyyy666",1,1,1,0,0,"0.0"
"249","aaronbo209","https://www.metacritic.com/user/aaronbo209",2,1,1,0,0,"0.0"
"250","Tedinasuit","https://www.metacritic.com/user/Tedinasuit",3,3,2,0,0,"0.0"
"251","CinderedSin","https://www.metacritic.com/user/CinderedSin",1,1,1,0,0,"0.0"
"252","biggame","https://www.metacritic.com/user/biggame",6,4,3,0,0,"8.0"
"253","LatinCritic13","https://www.metacritic.com/user/LatinCritic13",330,171,73,12,7,"7.6"
"254","Hecsaort","https://www.metacritic.com/user/Hecsaort",3,2,2,0,0,"0.0"
"255","Ellie12","https://www.metacritic.com/user/Ellie12",2,2,1,0,1,"0.0"
"256","NoStepOn_Snek_","https://www.metacritic.com/user/NoStepOn_Snek_",1,1,0,0,1,"0.0"
"257","terralux","https://www.metacritic.com/user/terralux",1,1,0,0,1,"0.0"
"258","Deathslizer","https://www.metacritic.com/user/Deathslizer",1,1,0,0,1,"0.0"
"259","RDY","https://www.metacritic.com/user/RDY",2,2,1,0,1,"0.0"
"260","emadthegreat","https://www.metacritic.com/user/emadthegreat",1,1,0,0,1,"0.0"
"261","Domihator","https://www.metacritic.com/user/Domihator",49,1,0,0,1,"6.9"
"262","Punpun19","https://www.metacritic.com/user/Punpun19",1,1,0,1,0,"0.0"
"263","Tlou2isrlybad","https://www.metacritic.com/user/Tlou2isrlybad",1,1,0,0,1,"0.0"
"264","jwnana","https://www.metacritic.com/user/jwnana",1,1,0,0,1,"0.0"
"265","Lagolo","https://www.metacritic.com/user/Lagolo",1,1,0,0,1,"0.0"
"266","maxi0141","https://www.metacritic.com/user/maxi0141",5,4,2,0,2,"6.4"
"267","Normanlive","https://www.metacritic.com/user/Normanlive",1,1,0,0,1,"0.0"
"268","feta234","https://www.metacritic.com/user/feta234",1,1,0,0,1,"0.0"
"269","Dewi333","https://www.metacritic.com/user/Dewi333",1,1,0,0,1,"0.0"
"270","AWSL","https://www.metacritic.com/user/AWSL",5,1,0,0,1,"7.2"
"271","Lolololp","https://www.metacritic.com/user/Lolololp",1,1,0,0,1,"0.0"
"272","Ernst_Junger","https://www.metacritic.com/user/Ernst_Junger",1,1,0,0,1,"0.0"
"273","sparki123","https://www.metacritic.com/user/sparki123",5,1,0,0,1,"6.2"
"274","dieguezzz","https://www.metacritic.com/user/dieguezzz",1,1,0,0,1,"0.0"
"275","MannequinSkyWLK","https://www.metacritic.com/user/MannequinSkyWLK",1,1,0,0,1,"0.0"
"276","JohnMikael","https://www.metacritic.com/user/JohnMikael",4,4,2,0,2,"5.0"
"277","FranzKaizer","https://www.metacritic.com/user/FranzKaizer",2,1,0,0,1,"0.0"
"278","skereton","https://www.metacritic.com/user/skereton",1,1,0,0,1,"0.0"
"279","Aaronzz","https://www.metacritic.com/user/Aaronzz",1,1,0,0,1,"0.0"
"280","marktoettrup","https://www.metacritic.com/user/marktoettrup",6,1,0,0,1,"0.0"
"281","Oaks","https://www.metacritic.com/user/Oaks",1,1,0,0,1,"0.0"
"282","Breakmycore","https://www.metacritic.com/user/Breakmycore",1,1,0,0,1,"0.0"
"283","kempb1a","https://www.metacritic.com/user/kempb1a",2,2,0,0,1,"0.0"
"284","Nodbert","https://www.metacritic.com/user/Nodbert",1,1,0,0,1,"0.0"
"285","Badumms","https://www.metacritic.com/user/Badumms",1,1,0,0,1,"0.0"
"286","fareshero","https://www.metacritic.com/user/fareshero",1,1,0,0,1,"0.0"
"287","Solidmolid","https://www.metacritic.com/user/Solidmolid",1,1,0,0,1,"0.0"
"288","Lovetom","https://www.metacritic.com/user/Lovetom",1,1,0,0,1,"0.0"
"289","Shellot","https://www.metacritic.com/user/Shellot",1,1,0,0,1,"0.0"
"290","jerrekt","https://www.metacritic.com/user/jerrekt",1,1,0,0,1,"0.0"
"291","redicent","https://www.metacritic.com/user/redicent",1,1,0,0,1,"0.0"
"292","Maxtalin","https://www.metacritic.com/user/Maxtalin",1,1,0,0,1,"0.0"
"293","MartenSODESCO","https://www.metacritic.com/user/MartenSODESCO",1,1,0,0,1,"0.0"
"294","OnlytheBrave194","https://www.metacritic.com/user/OnlytheBrave194",19,4,2,0,1,"8.5"
"295","Vendare","https://www.metacritic.com/user/Vendare",1,1,0,0,1,"0.0"
"296","braveandstunni","https://www.metacritic.com/user/braveandstunni",1,1,0,0,1,"0.0"
"297","RAKUN1","https://www.metacritic.com/user/RAKUN1",1,1,0,0,1,"0.0"
"298","ny13123","https://www.metacritic.com/user/ny13123",1,1,0,0,1,"0.0"
"299","MojosGhost","https://www.metacritic.com/user/MojosGhost",1,1,0,0,1,"0.0"
"300","Yayay","https://www.metacritic.com/user/Yayay",1,1,0,0,1,"0.0"
"301","LJsmith","https://www.metacritic.com/user/LJsmith",1,1,0,0,1,"0.0"
"302","Azziz","https://www.metacritic.com/user/Azziz",3,1,0,0,1,"0.0"
"303","JimPickens","https://www.metacritic.com/user/JimPickens",1,1,0,0,1,"0.0"
"304","Firdex","https://www.metacritic.com/user/Firdex",1,1,0,0,1,"0.0"
"305","Mezsgye","https://www.metacritic.com/user/Mezsgye",2,2,0,0,2,"0.0"
"306","qmusalam","https://www.metacritic.com/user/qmusalam",7,1,0,0,1,"8.4"
"307","tmemperor","https://www.metacritic.com/user/tmemperor",1,1,0,0,1,"0.0"
